text_column	other_column1	other_column2	other_column3	corrected_text	cleaned_text	tokens
judging from previous posts this used to be a good place , but not any longer .	10,11 RESTAURANT#GENERAL 0 13,16			judging from previous posts this used to be a good place , but not any longer .	judging from previous posts this used to be a good place  but not any longer 	['judging', 'from', 'previous', 'posts', 'this', 'used', 'to', 'be', 'a', 'good', 'place', 'but', 'not', 'any', 'longer']
we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	19,20 SERVICE#GENERAL 0 31,32			we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	we  there were four of us  arrived at noon  the place was empty  and the staff acted like we were imposing on them and they were very rude 	['we', 'there', 'were', 'four', 'of', 'us', 'arrived', 'at', 'noon', 'the', 'place', 'was', 'empty', 'and', 'the', 'staff', 'acted', 'like', 'we', 'were', 'imposing', 'on', 'them', 'and', 'they', 'were', 'very', 'rude']
they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .	-1,-1 SERVICE#GENERAL 0 -1,-1			they never brought us complimentary nodules , ignored repeated requests for sugar , and threw our dishes on the table .	they never brought us complimentary nodules  ignored repeated requests for sugar  and threw our dishes on the table 	['they', 'never', 'brought', 'us', 'complimentary', 'nodules', 'ignored', 'repeated', 'requests', 'for', 'sugar', 'and', 'threw', 'our', 'dishes', 'on', 'the', 'table']
after all that , they complained to me about the small tip .	-1,-1 SERVICE#GENERAL 0 5,6			after all that , they complained to me about the small tip .	after all that  they complained to me about the small tip 	['after', 'all', 'that', 'they', 'complained', 'to', 'me', 'about', 'the', 'small', 'tip']
avoid this place !	2,3 RESTAURANT#GENERAL 0 0,1			avoid this place !	avoid this place 	['avoid', 'this', 'place']
i have eaten at saul , many times , the food is always consistently , outrageously good .	10,11 FOOD#QUALITY 2 15,17			i have eaten at saul , many times , the food is always consistently , outrageous good .	i have eaten at saul  many times  the food is always consistently  outrageous good 	['i', 'have', 'eaten', 'at', 'saul', 'many', 'times', 'the', 'food', 'is', 'always', 'consistently', 'outrageous', 'good']
saul is the best restaurant on smith street and in brooklyn .	0,1 RESTAURANT#GENERAL 2 3,4			saul is the best restaurant on smith street and in brooklyn .	saul is the best restaurant on smith street and in brooklyn 	['saul', 'is', 'the', 'best', 'restaurant', 'on', 'smith', 'street', 'and', 'in', 'brooklyn']
the duck confit is always amazing and the foie gras terrine with figs was out of this world .	8,13 FOOD#QUALITY 2 14,18	1,3 FOOD#QUALITY 2 5,6		the duck conflict is always amazing and the foie gras terrible with figs was out of this world .	the duck conflict is always amazing and the foie gras terrible with figs was out of this world 	['the', 'duck', 'conflict', 'is', 'always', 'amazing', 'and', 'the', 'foie', 'gras', 'terrible', 'with', 'figs', 'was', 'out', 'of', 'this', 'world']
the wine list is interesting and has many good values .	1,3 DRINKS#STYLE_OPTIONS 2 4,5	1,3 DRINKS#PRICES 2 8,10		the wine list is interesting and has many good values .	the wine list is interesting and has many good values 	['the', 'wine', 'list', 'is', 'interesting', 'and', 'has', 'many', 'good', 'values']
for the price , you can not eat this well in manhattan .	-1,-1 RESTAURANT#PRICES 2 9,10	-1,-1 FOOD#QUALITY 2 9,10		for the price , you can not eat this well in manhattan .	for the price  you can not eat this well in manhattan 	['for', 'the', 'price', 'you', 'can', 'not', 'eat', 'this', 'well', 'in', 'manhattan']
i was very disappointed with this restaurant .	6,7 RESTAURANT#GENERAL 0 3,4			i was very disappointed with this restaurant .	i was very disappointed with this restaurant 	['i', 'was', 'very', 'disappointed', 'with', 'this', 'restaurant']
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .	3,5 SERVICE#GENERAL 0 -1,-1			give asked a cart attendant for a lots leaf wrapped rice and she replied back rice and just walked away .	give asked a cart attendant for a lots leaf wrapped rice and she replied back rice and just walked away 	['give', 'asked', 'a', 'cart', 'attendant', 'for', 'a', 'lots', 'leaf', 'wrapped', 'rice', 'and', 'she', 'replied', 'back', 'rice', 'and', 'just', 'walked', 'away']
i had to ask her three times before she finally came back with the dish ive requested .	-1,-1 SERVICE#GENERAL 0 -1,-1			i had to ask her three times before she finally came back with the dish give requested .	i had to ask her three times before she finally came back with the dish give requested 	['i', 'had', 'to', 'ask', 'her', 'three', 'times', 'before', 'she', 'finally', 'came', 'back', 'with', 'the', 'dish', 'give', 'requested']
food was okay , nothing great .	0,1 FOOD#QUALITY 1 2,3	0,1 FOOD#QUALITY 1 4,6		food was okay , nothing great .	food was okay  nothing great 	['food', 'was', 'okay', 'nothing', 'great']
i / we will never go back to this place again .	9,10 RESTAURANT#GENERAL 0 4,7			i / we will never go back to this place again .	i  we will never go back to this place again 	['i', 'we', 'will', 'never', 'go', 'back', 'to', 'this', 'place', 'again']
went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !	9,10 RESTAURANT#GENERAL 2 33,34	-1,-1 RESTAURANT#GENERAL 2 19,20		went on a 3 day system tinge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !	went on a 3 day system tinge  with fish bringing up the closing  and i am so glad this was the place it o trip ended  because it was so great 	['went', 'on', 'a', '3', 'day', 'system', 'tinge', 'with', 'fish', 'bringing', 'up', 'the', 'closing', 'and', 'i', 'am', 'so', 'glad', 'this', 'was', 'the', 'place', 'it', 'o', 'trip', 'ended', 'because', 'it', 'was', 'so', 'great']
service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! !	0,1 SERVICE#GENERAL 2 2,3	4,5 FOOD#QUALITY 2 7,8	-1,-1 RESTAURANT#PRICES 2 -1,-1	service was divine , mystery where a sensual as they come , and the price ca n ' t be beat ! ! !	service was divine  mystery where a sensual as they come  and the price ca n  t be beat   	['service', 'was', 'divine', 'mystery', 'where', 'a', 'sensual', 'as', 'they', 'come', 'and', 'the', 'price', 'ca', 'n', 't', 'be', 'beat']
you ca n ' t go wrong here .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			you ca n ' t go wrong here .	you ca n  t go wrong here 	['you', 'ca', 'n', 't', 'go', 'wrong', 'here']
every time in new york i make it a point to visit restaurant saul on smith street .	12,14 RESTAURANT#GENERAL 2 -1,-1			every time in new york i make it a point to visit restaurant saul on smith street .	every time in new york i make it a point to visit restaurant saul on smith street 	['every', 'time', 'in', 'new', 'york', 'i', 'make', 'it', 'a', 'point', 'to', 'visit', 'restaurant', 'saul', 'on', 'smith', 'street']
i had the duck breast special on my last visit and it was incredible .	3,6 FOOD#QUALITY 2 13,14			i had the duck breast special on my last visit and it was incredible .	i had the duck breast special on my last visit and it was incredible 	['i', 'had', 'the', 'duck', 'breast', 'special', 'on', 'my', 'last', 'visit', 'and', 'it', 'was', 'incredible']
and i hate to say this but i doubt i ' ll ever go back .	-1,-1 RESTAURANT#GENERAL 0 8,9			and i hate to say this but i doubt i ' ll ever go back .	and i hate to say this but i doubt i  ll ever go back 	['and', 'i', 'hate', 'to', 'say', 'this', 'but', 'i', 'doubt', 'i', 'll', 'ever', 'go', 'back']
the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .	1,2 FOOD#QUALITY 0 4,5	9,12 FOOD#QUALITY 0 15,17	-1,-1 FOOD#QUALITY 0 23,25	the food is very average . . . the that fusion stuff is a bit too sweet , every thing they serve is too sweet here .	the food is very average    the that fusion stuff is a bit too sweet  every thing they serve is too sweet here 	['the', 'food', 'is', 'very', 'average', 'the', 'that', 'fusion', 'stuff', 'is', 'a', 'bit', 'too', 'sweet', 'every', 'thing', 'they', 'serve', 'is', 'too', 'sweet', 'here']
the only thing i moderately enjoyed was their grilled chicken special with edamame puree .	8,14 FOOD#QUALITY 2 5,6			the only thing i moderately enjoyed was their drilled chicken special with damage pure .	the only thing i moderately enjoyed was their drilled chicken special with damage pure 	['the', 'only', 'thing', 'i', 'moderately', 'enjoyed', 'was', 'their', 'drilled', 'chicken', 'special', 'with', 'damage', 'pure']
i had never had edamame pureed before but i thought it was innovative and tasty ( could ' ve used a bit more salt ) .	4,6 FOOD#QUALITY 2 14,15	4,6 FOOD#STYLE_OPTIONS 2 12,13		i had never had damage purged before but i thought it was innovative and taste ( could ' ve used a bit more salt ) .	i had never had damage purged before but i thought it was innovative and taste  could  ve used a bit more salt  	['i', 'had', 'never', 'had', 'damage', 'purged', 'before', 'but', 'i', 'thought', 'it', 'was', 'innovative', 'and', 'taste', 'could', 've', 'used', 'a', 'bit', 'more', 'salt']
we went around 9 : 30 on a friday and it had died down a bit by then so the service was great !	20,21 SERVICE#GENERAL 2 22,23			we went around 9 : 30 on a friday and it had died down a bit by then so the service was great !	we went around 9  30 on a friday and it had died down a bit by then so the service was great 	['we', 'went', 'around', '9', '30', 'on', 'a', 'friday', 'and', 'it', 'had', 'died', 'down', 'a', 'bit', 'by', 'then', 'so', 'the', 'service', 'was', 'great']
the perfect spot .	2,3 RESTAURANT#GENERAL 2 1,2			the perfect spot .	the perfect spot 	['the', 'perfect', 'spot']
food - awesome .	0,1 FOOD#QUALITY 1 2,3			food - awesome .	food  awesome 	['food', 'awesome']
service - friendly and attentive .	0,1 SERVICE#GENERAL 2 2,3	0,1 SERVICE#GENERAL 2 4,5		service - friendly and attentive .	service  friendly and attentive 	['service', 'friendly', 'and', 'attentive']
ambiance - relaxed and stylish .	0,1 AMBIENCE#GENERAL 2 2,3	0,1 AMBIENCE#GENERAL 2 4,5		alliance - relaxed and stylish .	alliance  relaxed and stylish 	['alliance', 'relaxed', 'and', 'stylish']
do n ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .	6,7 RESTAURANT#GENERAL 2 -1,-1			do n ' t judge this place prima face , you have to try it to believe it , a home away from home for the literate heart .	do n  t judge this place prima face  you have to try it to believe it  a home away from home for the literate heart 	['do', 'n', 't', 'judge', 'this', 'place', 'prima', 'face', 'you', 'have', 'to', 'try', 'it', 'to', 'believe', 'it', 'a', 'home', 'away', 'from', 'home', 'for', 'the', 'literate', 'heart']
the food is decent .	1,2 FOOD#QUALITY 1 3,4			the food is decent .	the food is decent 	['the', 'food', 'is', 'decent']
however , it ' s the service that leaves a bad taste in my mouth .	6,7 SERVICE#GENERAL 0 10,12			however , it ' s the service that leaves a bad taste in my mouth .	however  it  s the service that leaves a bad taste in my mouth 	['however', 'it', 's', 'the', 'service', 'that', 'leaves', 'a', 'bad', 'taste', 'in', 'my', 'mouth']
i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .	23,24 SERVICE#GENERAL 0 34,35			i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .	i happen to have a policy that goes along with a little bit of self  respect  which includes not letting a waiter intimidate me  i  e  make me feel bad asking for trivialities like water  or the check 	['i', 'happen', 'to', 'have', 'a', 'policy', 'that', 'goes', 'along', 'with', 'a', 'little', 'bit', 'of', 'self', 'respect', 'which', 'includes', 'not', 'letting', 'a', 'waiter', 'intimidate', 'me', 'i', 'e', 'make', 'me', 'feel', 'bad', 'asking', 'for', 'trivialities', 'like', 'water', 'or', 'the', 'check']
i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .	-1,-1 SERVICE#GENERAL 0 -1,-1	-1,-1 SERVICE#GENERAL 0 -1,-1		i know , you were too busy showing off your vantage the shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .	i know  you were too busy showing off your vantage the shirt and looking bored  but my agenda is i  m here to eat and enjoy the company of friends  seeking a pleasant experience 	['i', 'know', 'you', 'were', 'too', 'busy', 'showing', 'off', 'your', 'vantage', 'the', 'shirt', 'and', 'looking', 'bored', 'but', 'my', 'agenda', 'is', 'i', 'm', 'here', 'to', 'eat', 'and', 'enjoy', 'the', 'company', 'of', 'friends', 'seeking', 'a', 'pleasant', 'experience']
well , i did n ' t find it there , and trust , i have told everyone i can think of about my experience .	-1,-1 RESTAURANT#GENERAL 0 -1,-1			well , i did n ' t find it there , and trust , i have told everyone i can think of about my experience .	well  i did n  t find it there  and trust  i have told everyone i can think of about my experience 	['well', 'i', 'did', 'n', 't', 'find', 'it', 'there', 'and', 'trust', 'i', 'have', 'told', 'everyone', 'i', 'can', 'think', 'of', 'about', 'my', 'experience']
the last time i walked by it looked pretty empty . hmmm .	-1,-1 RESTAURANT#MISCELLANEOUS 0 9,10			the last time i walked by it looked pretty empty . mmm .	the last time i walked by it looked pretty empty  mmm 	['the', 'last', 'time', 'i', 'walked', 'by', 'it', 'looked', 'pretty', 'empty', 'mmm']
i had a great experience .	-1,-1 RESTAURANT#GENERAL 2 3,4			i had a great experience .	i had a great experience 	['i', 'had', 'a', 'great', 'experience']
food is great .	0,1 FOOD#QUALITY 2 2,3			food is great .	food is great 	['food', 'is', 'great']
service is top notch .	0,1 SERVICE#GENERAL 2 2,4			service is top notch .	service is top notch 	['service', 'is', 'top', 'notch']
i have been going back again and again .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			i have been going back again and again .	i have been going back again and again 	['i', 'have', 'been', 'going', 'back', 'again', 'and', 'again']
it melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .	-1,-1 FOOD#QUALITY 2 8,10			it melted in my little mouth and the perfect consistency - not too fish , creamy , and slightly battery .	it melted in my little mouth and the perfect consistency  not too fish  creamy  and slightly battery 	['it', 'melted', 'in', 'my', 'little', 'mouth', 'and', 'the', 'perfect', 'consistency', 'not', 'too', 'fish', 'creamy', 'and', 'slightly', 'battery']
the sushi seemed pretty fresh and was adequately proportioned .	1,2 FOOD#QUALITY 2 4,5	1,2 FOOD#STYLE_OPTIONS 2 8,9		the such seemed pretty fresh and was adequately proportioned .	the such seemed pretty fresh and was adequately proportioned 	['the', 'such', 'seemed', 'pretty', 'fresh', 'and', 'was', 'adequately', 'proportioned']
the rice to fish ration was also good - - they did n ' t try to overpack the rice .	1,5 FOOD#STYLE_OPTIONS 2 7,8			the rice to fish ration was also good - - they did n ' t try to overpack the rice .	the rice to fish ration was also good   they did n  t try to overpack the rice 	['the', 'rice', 'to', 'fish', 'ration', 'was', 'also', 'good', 'they', 'did', 'n', 't', 'try', 'to', 'overpack', 'the', 'rice']
we took advanatage of the half price sushi deal on saturday so it was well worth it .	5,9 FOOD#QUALITY 2 15,16			we took advantage of the half price such deal on saturday so it was well worth it .	we took advantage of the half price such deal on saturday so it was well worth it 	['we', 'took', 'advantage', 'of', 'the', 'half', 'price', 'such', 'deal', 'on', 'saturday', 'so', 'it', 'was', 'well', 'worth', 'it']
surprisingly nothing could be further from the truth .	-1,-1 RESTAURANT#MISCELLANEOUS 2 0,1			surprisingly nothing could be further from the truth .	surprisingly nothing could be further from the truth 	['surprisingly', 'nothing', 'could', 'be', 'further', 'from', 'the', 'truth']
