tokens	absa1	absa2	absa3
['judging', 'from', 'previous', 'posts', 'this', 'used', 'to', 'be', 'a', 'good', 'place', ' ', 'but', 'not', 'any', 'longer']	10,11 RESTAURANT#GENERAL 0 13,16		
['we', ' ', 'there', 'were', 'four', 'of', 'us', ' ', 'arrived', 'at', 'noon', ' ', 'the', 'place', 'was', 'empty', ' ', 'and', 'the', 'staff', 'acted', 'like', 'we', 'were', 'imposing', 'on', 'them', 'and', 'they', 'were', 'very', 'rude']	19,20 SERVICE#GENERAL 0 31,32		
['they', 'never', 'brought', 'us', 'complimentary', 'nodules', ' ', 'ignored', 'repeated', 'requests', 'for', 'sugar', ' ', 'and', 'threw', 'our', 'dishes', 'on', 'the', 'table']	-1,-1 SERVICE#GENERAL 0 -1,-1		
['after', 'all', 'that', ' ', 'they', 'complained', 'to', 'me', 'about', 'the', 'small', 'tip']	-1,-1 SERVICE#GENERAL 0 5,6		
['avoid', 'this', 'place']	2,3 RESTAURANT#GENERAL 0 0,1		
['i', 'have', 'eaten', 'at', 'saul', ' ', 'many', 'times', ' ', 'the', 'food', 'is', 'always', 'consistently', ' ', 'outrageous', 'good']	10,11 FOOD#QUALITY 2 15,17		
['saul', 'is', 'the', 'best', 'restaurant', 'on', 'smith', 'street', 'and', 'in', 'brooklyn']	0,1 RESTAURANT#GENERAL 2 3,4		
['the', 'duck', 'conflict', 'is', 'always', 'amazing', 'and', 'the', 'foie', 'gras', 'terrible', 'with', 'figs', 'was', 'out', 'of', 'this', 'world']	8,13 FOOD#QUALITY 2 14,18	1,3 FOOD#QUALITY 2 5,6	
['the', 'wine', 'list', 'is', 'interesting', 'and', 'has', 'many', 'good', 'values']	1,3 DRINKS#STYLE_OPTIONS 2 4,5	1,3 DRINKS#PRICES 2 8,10	
['for', 'the', 'price', ' ', 'you', 'can', 'not', 'eat', 'this', 'well', 'in', 'manhattan']	-1,-1 RESTAURANT#PRICES 2 9,10	-1,-1 FOOD#QUALITY 2 9,10	
['i', 'was', 'very', 'disappointed', 'with', 'this', 'restaurant']	6,7 RESTAURANT#GENERAL 0 3,4		
['give', 'asked', 'a', 'cart', 'attendant', 'for', 'a', 'lots', 'leaf', 'wrapped', 'rice', 'and', 'she', 'replied', 'back', 'rice', 'and', 'just', 'walked', 'away']	3,5 SERVICE#GENERAL 0 -1,-1		
['i', 'had', 'to', 'ask', 'her', 'three', 'times', 'before', 'she', 'finally', 'came', 'back', 'with', 'the', 'dish', 'give', 'requested']	-1,-1 SERVICE#GENERAL 0 -1,-1		
['food', 'was', 'okay', ' ', 'nothing', 'great']	0,1 FOOD#QUALITY 1 2,3	0,1 FOOD#QUALITY 1 4,6	
['i', ' ', 'we', 'will', 'never', 'go', 'back', 'to', 'this', 'place', 'again']	9,10 RESTAURANT#GENERAL 0 4,7		
['went', 'on', 'a', '3', 'day', 'system', 'tinge', ' ', 'with', 'fish', 'bringing', 'up', 'the', 'closing', ' ', 'and', 'i', 'am', 'so', 'glad', 'this', 'was', 'the', 'place', 'it', 'o', 'trip', 'ended', ' ', 'because', 'it', 'was', 'so', 'great']	9,10 RESTAURANT#GENERAL 2 33,34	-1,-1 RESTAURANT#GENERAL 2 19,20	
['service', 'was', 'divine', ' ', 'mystery', 'where', 'a', 'sensual', 'as', 'they', 'come', ' ', 'and', 'the', 'price', 'ca', 'n', ' ', 't', 'be', 'beat', '  ']	0,1 SERVICE#GENERAL 2 2,3	4,5 FOOD#QUALITY 2 7,8	-1,-1 RESTAURANT#PRICES 2 -1,-1
['you', 'ca', 'n', ' ', 't', 'go', 'wrong', 'here']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['every', 'time', 'in', 'new', 'york', 'i', 'make', 'it', 'a', 'point', 'to', 'visit', 'restaurant', 'saul', 'on', 'smith', 'street']	12,14 RESTAURANT#GENERAL 2 -1,-1		
['i', 'had', 'the', 'duck', 'breast', 'special', 'on', 'my', 'last', 'visit', 'and', 'it', 'was', 'incredible']	3,6 FOOD#QUALITY 2 13,14		
['and', 'i', 'hate', 'to', 'say', 'this', 'but', 'i', 'doubt', 'i', ' ', 'll', 'ever', 'go', 'back']	-1,-1 RESTAURANT#GENERAL 0 8,9		
['the', 'food', 'is', 'very', 'average', '   ', 'the', 'that', 'fusion', 'stuff', 'is', 'a', 'bit', 'too', 'sweet', ' ', 'every', 'thing', 'they', 'serve', 'is', 'too', 'sweet', 'here']	1,2 FOOD#QUALITY 0 4,5	9,12 FOOD#QUALITY 0 15,17	-1,-1 FOOD#QUALITY 0 23,25
['the', 'only', 'thing', 'i', 'moderately', 'enjoyed', 'was', 'their', 'drilled', 'chicken', 'special', 'with', 'damage', 'pure']	8,14 FOOD#QUALITY 2 5,6		
['i', 'had', 'never', 'had', 'damage', 'purged', 'before', 'but', 'i', 'thought', 'it', 'was', 'innovative', 'and', 'taste', ' ', 'could', ' ', 've', 'used', 'a', 'bit', 'more', 'salt', ' ']	4,6 FOOD#QUALITY 2 14,15	4,6 FOOD#STYLE_OPTIONS 2 12,13	
['we', 'went', 'around', '9', ' ', '30', 'on', 'a', 'friday', 'and', 'it', 'had', 'died', 'down', 'a', 'bit', 'by', 'then', 'so', 'the', 'service', 'was', 'great']	20,21 SERVICE#GENERAL 2 22,23		
['the', 'perfect', 'spot']	2,3 RESTAURANT#GENERAL 2 1,2		
['food', ' ', 'awesome']	0,1 FOOD#QUALITY 1 2,3		
['service', ' ', 'friendly', 'and', 'attentive']	0,1 SERVICE#GENERAL 2 2,3	0,1 SERVICE#GENERAL 2 4,5	
['alliance', ' ', 'relaxed', 'and', 'stylish']	0,1 AMBIENCE#GENERAL 2 2,3	0,1 AMBIENCE#GENERAL 2 4,5	
['do', 'n', ' ', 't', 'judge', 'this', 'place', 'prima', 'face', ' ', 'you', 'have', 'to', 'try', 'it', 'to', 'believe', 'it', ' ', 'a', 'home', 'away', 'from', 'home', 'for', 'the', 'literate', 'heart']	6,7 RESTAURANT#GENERAL 2 -1,-1		
['the', 'food', 'is', 'decent']	1,2 FOOD#QUALITY 1 3,4		
['however', ' ', 'it', ' ', 's', 'the', 'service', 'that', 'leaves', 'a', 'bad', 'taste', 'in', 'my', 'mouth']	6,7 SERVICE#GENERAL 0 10,12		
['i', 'happen', 'to', 'have', 'a', 'policy', 'that', 'goes', 'along', 'with', 'a', 'little', 'bit', 'of', 'self', ' ', 'respect', ' ', 'which', 'includes', 'not', 'letting', 'a', 'waiter', 'intimidate', 'me', ' ', 'i', ' ', 'e', ' ', 'make', 'me', 'feel', 'bad', 'asking', 'for', 'trivialities', 'like', 'water', ' ', 'or', 'the', 'check']	23,24 SERVICE#GENERAL 0 34,35		
